"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
2nd and 13 at BU43,"Bohanon,Gerry rush for 4 yards to the BU47 (Jacoby Jones)."
3rd and 9 at BU47,"Bohanon,Gerry rush for 8 yards to the UT45 (Byron Vaughns)."
4th and 1 at UT45,"Bohanon,Gerry rush for no gain to the UT45 (Byron Vaughns;Ayodele Adeoye)."
Total,"5 plays , 24 yards Time of Possession: 2:39"
Texas at 00:43
1st and 10 at UT45,TEXAS drive start at 00:43.
1st and 10 at UT45,"Sam Ehlinger pass complete to Devin Duvernay for 12 yards to the BU43, 1ST DOWN UT, out-of-bounds (Lynch,Blake)."
1st and 10 at BU43,"Sam Ehlinger pass complete to Devin Duvernay for 11 yards to the BU32, 1ST DOWN UT (Miller,Chris)."
1st and 10 at BU32,"Sam Ehlinger rush for 11 yards to the BU21, 1ST DOWN UT, out-of-bounds."
1st and 10 at BU21,"Sam Ehlinger rush for 17 yards to the BU4, 1ST DOWN UT (Arnold,Grayland)."
1st and GOAL at BU04,"Timeout Texas, clock 00:05."
1st and GOAL at BU04,"Daniel Young rush for 4 yards to the BU0, TOUCHDOWN, clock 00:01."
1st and GOAL at BU03,Cameron Dicker kick attempt good.
1st and GOAL at UT35,"Cameron Dicker kickoff 39 yards to the BU26, downed."
Total,"5 plays , 55 yards Time of Possession: 0:42"
Baylor at 00:01
1st and 10 at BU26,BAYLOR drive start at 00:01.
1st and 10 at BU26,"End of game, clock 00:00."
Total,"0 plays , 0 yards Time of Possession: 0:01"
